feature	lasso_freq_selected	lasso_coefficients	X.IncMSE
Average.Household.Income_selected	0.001	1E-12	0.0014507
popden_selected	0.752	-0.01599909	0.00121718
Median.Household.Income_selected	0.602	1.46446E-07	0.00042854
High.Income.Households_selected	0	0	0.00036853
age_selected	0.695	0.02480562	0.00009955
avg_edge_str_selected	0	0	0.00002132
density_selected	0	0	0.00000482
Per.Capita.Income_selected	0	0	-0.00001268
