"names","node","preds_indRev","preds_outRev","preds_inRev","preds_subRev"
"gpcda",120,NA,NA,NA,NA
"eqzgu",121,NA,NA,NA,NA
"iwpfd",122,NA,NA,NA,NA
"kyarm",123,NA,NA,NA,NA
"kmojl",124,575.707939465614,1580.91051975404,1962.61426658306,6101.73245424395
"bqznh",125,NA,NA,NA,NA
"zuwtf",126,487.556602237134,819.845048001149,988.073126282742,1565.14391514595
"mptnx",127,NA,NA,NA,NA
"umwgf",128,NA,NA,NA,NA
"tygjq",129,NA,NA,NA,NA
"lxllb",130,409.244539401909,810.695327941388,953.417287085466,1435.10826306517
"zygrq",131,NA,NA,NA,NA
"dprck",132,NA,NA,NA,NA
"wdyhe",133,NA,NA,NA,NA
"biojb",134,NA,NA,NA,NA
"idbof",135,NA,NA,NA,NA
"kbrus",136,461.966947613529,547.345784345577,583.41836404381,1403.5056455858
"zidzd",137,458.23200628585,493.345385233276,507.271622324031,1335.98937615581
"ergur",138,NA,NA,NA,NA
"vusra",139,NA,NA,NA,NA
"lpoqy",140,468.099444534317,587.172769254626,639.647636257436,1459.31044206724
"igato",141,NA,NA,NA,NA
"dqqrc",142,NA,NA,NA,NA
"jggqa",143,NA,NA,NA,NA
"rpldg",144,NA,NA,NA,NA
"gwgbb",145,NA,NA,NA,NA
"vehoc",146,NA,NA,NA,NA
"uhish",147,NA,NA,NA,NA
"zscnc",148,NA,NA,NA,NA
"rpphp",149,296.267853546305,524.369698024976,559.42337871448,1944.84129757821
"nrblf",150,NA,NA,NA,NA
"xtbax",151,NA,NA,NA,NA
"msgxd",152,NA,NA,NA,NA
"ngjuf",153,786.758104603607,1103.86011904872,1305.2430611647,3390.80738441327
"vmwxa",154,NA,NA,NA,NA
"esenc",155,NA,NA,NA,NA
"zqmga",156,NA,NA,NA,NA
"pfimo",157,NA,NA,NA,NA
"xowhl",158,NA,NA,NA,NA
"wpmui",159,NA,NA,NA,NA
"lmpgg",160,NA,NA,NA,NA
"yhfih",161,NA,NA,NA,NA
"ebxjx",162,NA,NA,NA,NA
"zkkqf",163,162.687190331295,106.570733856778,83.6266534252523,210.925703906984
"gcblz",164,698.417021975399,1477.73834387227,2018.57847452032,2020.32633074915
"tvgep",165,NA,NA,NA,NA
"imktt",166,569.218319996513,841.16220746504,988.669936990296,2104.43424209729
"wnxvi",167,538.966867017903,811.64877091536,861.491129376713,13925.2260059878
"hyacf",168,NA,NA,NA,NA
"fjtmy",169,NA,NA,NA,NA
"demvo",170,NA,NA,NA,NA
"dfpif",171,613.322714567522,1017.18001184078,1253.75308826952,2445.29263785288
"vkxom",172,613.322714567209,916.974811034675,1089.39733829941,2385.47677051685
"djmxz",173,347.815309998593,215.504987192251,175.869612540441,667.833196753437
"ulkno",174,NA,NA,NA,NA
"yuxrd",175,355.801146558532,1198.53631351283,1508.76774258823,4013.94026821143
"msqbj",176,400.205643596927,468.1490355018,421.816723592977,3148.61524786919
"krbjs",177,NA,NA,NA,NA
"tikfw",178,478.485435122032,637.358598983954,604.902126739937,3514.72311478311
"nlhzt",179,NA,NA,NA,NA
"pqntc",180,296.509351941087,122.106574621537,83.981758320681,412.472056053013
"xcjnj",181,NA,NA,NA,NA
"jywin",182,1769.27784705664,9272.39044977315,2202.94195835293,20907.687523332
"stfma",183,1243.82629436514,9006.05182582154,2228.0730192148,75662.2164118537
"jlrlz",184,704.940209715968,6316.97071658473,3757.30681405785,106514.75448377
"nvjis",185,1081.03590744599,6191.90112753128,1650.34251901567,26853.3578286763
"qnfia",186,1155.19151660338,8125.77075761644,2435.39998820183,28934.8843935141
"kvzca",187,1143.95669836465,3451.11041853607,943.50517398607,9991.96670293268
"zlaqz",188,991.180569993858,10770.2280305433,2670.50764735625,65342.9060275537
"eupnj",189,NA,NA,NA,NA
"rssdk",190,608.701229688214,2171.47593274596,1533.40334564595,7916.86125860189
"knurp",191,NA,NA,NA,NA
"euxwz",192,NA,NA,NA,NA
"btoki",193,994.327809061431,4817.3227587385,1711.07837398376,5876.891832162
"vwzfx",194,1136.78680095406,7018.62847603596,2943.47334571538,26117.5885787174
"obelq",195,NA,NA,NA,NA
"gxrbp",196,NA,NA,NA,NA
"gvhzz",197,511.554740115438,1221.16192256522,469.241691224051,2285.61349726918
"paouo",198,800.588989763135,1301.9576524924,295.204445329234,2962.45453534458
"slbzz",199,732.636800532426,4160.31330756274,865.708841086741,10428.1982204026
"uxcqp",200,506.667932328843,2646.74102203271,966.368671047027,5494.69809648087
"wfnis",201,NA,NA,NA,NA
"dcmlb",202,NA,NA,NA,NA
"ljqxt",203,NA,NA,NA,NA
"ypbzz",204,647.964307310974,1578.82274803024,390.968206627043,3013.48412622939
"zlsmt",205,1102.03721014572,3005.13905009362,794.214095724156,5757.3020744587
"wipwo",206,NA,NA,NA,NA
"avmmi",207,1692.46561046341,5219.52282801277,1783.54464469358,13148.4365038751
"ucrxo",208,NA,NA,NA,NA
"yrtgt",209,NA,NA,NA,NA
"szieu",210,343.097522844982,755.666468697892,511.309891097592,2595.34397866164
"keost",211,492.132018892687,970.851878866147,486.791927538125,3011.44875363044
"drgab",212,NA,NA,NA,NA
"yeqeo",213,NA,NA,NA,NA
"uphdm",214,NA,NA,NA,NA
"lggdw",215,NA,NA,NA,NA
"bbibb",216,NA,NA,NA,NA
"fpdrj",217,NA,NA,NA,NA
"gkwhs",218,823.045447940287,876.07875019142,270.895478823107,1049.08944086694
"xtxta",219,467.090850018206,812.50121575818,392.063059817001,1959.55705632818
"svetg",220,577.582254958884,2186.49747723897,766.225222459085,4108.04255607716
"eetzh",221,NA,NA,NA,NA
"ozowt",222,NA,NA,NA,NA
"ifrgw",223,NA,NA,NA,NA
"enuez",224,820.492547594195,4095.84866235196,2200.24896826814,11192.7311147584
"tcvgg",225,NA,NA,NA,NA
"ywkzx",226,615.862174547077,1669.37438851644,573.635632101976,4594.48269821907
"ilfzr",227,648.39852424264,1653.49382241288,481.637188097531,3050.5587915474
"tgaqn",228,NA,NA,NA,NA
"prqbk",229,NA,NA,NA,NA
"hllxb",230,678.740125995007,2030.217913937,1137.82694784164,7661.78853968723
"bqmgr",231,NA,NA,NA,NA
"jvxnb",232,NA,NA,NA,NA
"qjlte",233,NA,NA,NA,NA
"kjrxl",234,542.096470455556,2507.35535349774,1284.38265681862,77034.2656098567
"eiecf",235,613.123290601031,683.182139427322,2040.65341406024,3034.46251671734
"lbnyl",236,NA,NA,NA,NA
"wougn",237,NA,NA,NA,NA
"uazml",238,NA,NA,NA,NA
"llrzw",239,473.442151099189,1095.15109426589,838.129307949172,4665.91243644407
"esoam",240,NA,NA,NA,NA
"kulby",241,NA,NA,NA,NA
"xizei",242,643.485207698415,3179.81625153139,1023.48308855553,5623.69442218036
"ppcud",243,NA,NA,NA,NA
"fiaqa",244,NA,NA,NA,NA
"xtckn",245,966.994528007339,1354.87429762,464.186899571124,6033.54661056612
"rlzfn",246,NA,NA,NA,NA
"ocknl",247,531.185062308619,1269.4148883046,404.140962477668,3260.98780954028
"ykepm",248,NA,NA,NA,NA
"zxstv",249,1323.95195651538,1640.58529822959,6113.05231611729,8371.91543152335
"vwuqt",250,496.710227689506,1883.8168033583,605.537887971459,2952.0594651552
"fvzku",251,516.856890229224,1273.22506485642,423.222813895275,2849.64236150095
"ymgro",252,481.791553678775,2819.75024179377,5884.79091073044,140459.631071945
"boqzv",253,1120.78938792747,6323.18071684487,1735.65002016518,14248.19508697
"dmzol",254,NA,NA,NA,NA
"qdoer",255,1117.27394279689,3337.0266385841,1271.74879289932,12821.7715104797
"nmquh",256,764.327507108501,3510.25055457579,1498.98916024513,12108.309645844
"fwstq",257,NA,NA,NA,NA
"ldkat",258,NA,NA,NA,NA
"bqicw",259,495.719883310863,945.96930905859,1177.24041716839,1433.30111870062
"lyxfu",260,292.956406436568,150.407897959856,112.799777111711,468.892587395357
"ujjej",261,295.252917758971,396.036243769532,410.695615695065,500.120808296501
"ifohx",262,NA,NA,NA,NA
"vzbjo",263,NA,NA,NA,NA
"qcgkh",264,355.901981263631,377.878630156383,378.459887022993,887.597834962177
"zqlqp",265,522.729535647874,758.972872606561,879.573318975658,1815.71359898148
"absnv",266,503.501002028038,564.826587951334,594.02413703774,1569.61556271506
"yodoa",267,NA,NA,NA,NA
"ekqnw",268,522.729535647607,702.326467810647,791.824430244953,1782.3904228583
"jxcqh",269,NA,NA,NA,NA
"szvze",270,NA,NA,NA,NA
"zxtoa",271,321.578581867605,410.11698443257,373.879693659665,1397.1403247823
"uwsmn",272,NA,NA,NA,NA
"mkumc",273,NA,NA,NA,NA
"wzuxd",274,289.632427824926,309.137331001111,303.459311320502,609.727941587302
"xxjzs",275,687.734392470225,1543.09840411703,2120.64903856642,2907.61178346331
"mjsje",276,NA,NA,NA,NA
"pgusm",277,NA,NA,NA,NA
"ftgex",278,295.252917758821,101.14324032297,64.6148005484013,361.006289812268
"hhmpl",279,345.216555173792,510.385784879165,468.976903127625,2033.90116494267
"ahuit",280,NA,NA,NA,NA
"gfcud",281,NA,NA,NA,NA
"ztnuo",282,NA,NA,NA,NA
"vhtps",283,NA,NA,NA,NA
"fmpqg",284,3025.63293202142,4337.82045300814,4360.41724188318,6127.56144839362
"cuokc",285,271.730129577252,288.614556611147,280.545316585336,534.882352853135
"zuihd",286,NA,NA,NA,NA
"dirdp",287,289.632427824778,204.545097273695,173.412572003074,552.46448990791
"jxwob",288,NA,NA,NA,NA
"pgyve",289,683.8676848848,1732.31147377715,2428.97538473567,2358.722896999
"hwrxt",290,1454.95744841446,1565.88066923216,1181.6174551246,2516.11388867306
"bzmdc",291,NA,NA,NA,NA
"haxyd",292,NA,NA,NA,NA
"giwuc",293,315.154950887022,688.24728126547,758.0360580973,3815.57861475346
"ukiat",294,586.950611100412,1177.64507724918,1532.0033307964,2155.56549869257
"miyxw",295,237.373981428568,160.48339949275,131.84674699301,400.796888259268
"ftrrf",296,NA,NA,NA,NA
"oeqes",297,291.0304590728,281.089874950942,267.169599878088,617.360558508789
"htvka",298,NA,NA,NA,NA
"lfcue",299,NA,NA,NA,NA
"mhthz",300,NA,NA,NA,NA
"gakeg",301,418.170653285165,482.506544706811,505.069811239949,1184.96110103853
"avmud",302,232.598384625819,438.453110754053,415.370173887012,1006.48124285497
"skiug",303,NA,NA,NA,NA
"cvuvo",304,NA,NA,NA,NA
"nfwab",305,NA,NA,NA,NA
"alaqm",306,NA,NA,NA,NA
"krkco",307,707.657215309706,627.289779543793,615.781950063422,2219.0900347361
